,symbol,date,open,high,low,close,volume,adj_close,prev_day_diff,50_day_moving_avg,10_day_volatility,s&p_index_open,s&p_index_high,s&p_index_low,s&p_index_close,s&p_index_volume,s&p_index_adj_close
0,RL,1997-06-12,0.00521926965298,0.00530151905068,0.00507403471401,0.00511655126973,19963800,0.00488268359803,0.0,28.919455,0.0,869.570007,884.340027,869.01001,883.460022,592730000.0,883.460022
1,RL,1997-06-13,0.00515834432629,0.00528143753912,0.00521783326865,0.00525867769388,3661100,0.00501831366514,0.803318,29.321114,0.401659,883.47998,894.690002,883.47998,893.27002,575810000.0,893.27002
2,RL,1997-06-16,0.00523957809521,0.00522119300446,0.00503294941268,0.00501503239533,2481700,0.00478580507514,-1.377116,28.995962,0.650305,893.27002,895.169983,891.210022,893.900024,414280000.0,893.900024
3,RL,1997-06-17,0.00489433457731,0.00485972579645,0.00478643760471,0.00483229842141,2283800,0.00461142346379,-1.032838,28.575176,1.262357,893.900024,897.599976,886.190002,894.419983,543010000.0,894.419983
4,RL,1997-06-18,0.00483340925062,0.00477939975023,0.0046220963994,0.00460895689773,1749900,0.00439829047706,-1.262357,28.070233,2.019771,894.419983,894.419983,887.030029,889.059998,491740000.0,889.059998
5,RL,1997-06-19,0.00463032482832,0.00475931823868,0.00464263905006,0.00477138709677,1269900,0.00455329631629,0.918078,27.886617,0.918077,889.059998,900.090027,888.98999,897.98999,536940000.0,897.98999
6,RL,1997-06-20,0.00479279236616,0.00485972579645,0.00482752290604,0.00479169087165,859100,0.00457267191957,0.114759,27.771857,0.688558,897.98999,901.77002,897.77002,898.700012,653110000.0,898.700012
7,RL,1997-06-23,0.00485371769285,0.00479948126179,0.0046220963994,0.00458865312285,725000,0.00437891470495,-1.147597,27.542338,1.606636,898.700012,898.700012,878.429993,878.619995,492940000.0,878.619995
8,RL,1997-06-24,0.00463032482832,0.00475931823868,0.00445775519409,0.00469017199725,1212100,0.00447579339668,0.573799,27.427578,0.918077,878.619995,896.75,878.619995,896.340027,542650000.0,896.340027
9,RL,1997-06-25,0.00473186703947,0.00467899219245,0.0046220963994,0.00465971633493,726600,0.00444672973851,-0.17214,27.318556,0.981195,896.340027,902.090027,882.23999,888.98999,603040000.0,888.98999
10,RL,1997-06-26,0.00456939950163,0.00457858463468,0.00453992579674,0.00458865312285,534500,0.00437891470495,-0.401659,27.192842,1.084479,888.98999,893.210022,879.320007,883.679993,499780000.0,883.679993
11,RL,1997-06-27,0.00456939950163,0.00455850312312,0.00446802651942,0.00442622292381,441500,0.00422390886572,-0.918078,27.011574,1.532042,883.679993,894.700012,883.679993,887.299988,472540000.0,887.299988
12,RL,1997-06-30,0.0044069319638,0.00443801405379,0.00431395663944,0.00444652669869,796900,0.00424328463784,0.11476,26.867021,1.095955,887.299988,892.619995,879.820007,885.140015,561540000.0,885.140015
