,symbol,date,open,high,low,close,volume,adj_close,prev_day_diff,50_day_moving_avg,10_day_volatility,s&p_index_open,s&p_index_high,s&p_index_low,s&p_index_close,s&p_index_volume,s&p_index_adj_close
35,GE,1962-02-20,0.010021627653,0.00992934039269,0.0099654846334,0.0100020153208,1027200,9.72479900065e-05,-0.000242,0.142371,0.00068,70.410004,70.910004,70.129997,70.660004,3300000.0,70.660004
36,GE,1962-02-21,0.0100053057668,0.00996168459144,0.00999843032466,0.00996925559261,1036800,9.69297314932e-05,-0.000485,0.142515,4.7e-05,70.660004,70.970001,70.120003,70.32,3310000.0,70.32
37,GE,1962-02-23,0.0099725352614,0.00989687257167,0.00994901218375,0.0098712286141,1564800,9.59769245627e-05,-0.001452,0.142614,0.001499,70.32,70.57,69.730003,70.160004,3230000.0,70.160004
38,GE,1962-02-26,0.00987447603414,0.00981588806379,0.00975095948056,0.0097404428226,1209600,9.47052029157e-05,-0.001938,0.142658,0.003316,70.160004,70.330002,69.440002,69.760002,2910000.0,69.760002
39,GE,1962-02-27,0.00974364721695,0.00971873184527,0.00981697678431,0.00980583571835,892800,9.53410637392e-05,0.000969,0.142724,0.002323,69.760002,70.32,69.480003,69.889999,3110000.0,69.889999
40,GE,1962-02-28,0.00980906162555,0.00975107591444,0.00981697678431,0.00975675947175,1593600,9.48633478677e-05,-0.000728,0.142769,0.002784,69.889999,70.419998,69.57,69.959999,3030000.0,69.959999
41,GE,1962-03-01,0.00980906162555,0.0098483566623,0.00989946732966,0.00993662229432,873600,9.6612129183e-05,0.002665,0.142875,2e-06,69.959999,70.599998,69.760002,70.199997,2960000.0,70.199997
42,GE,1962-03-02,0.00995621324443,0.00997785630206,0.0100479751787,0.0100020153208,1209600,9.72479900065e-05,0.000969,0.142999,0.001213,70.160004,70.160004,69.75,70.160004,2980000.0,70.160004
43,GE,1962-03-05,0.010021627653,0.0100103249006,0.0101139924825,0.0100183318392,1334400,9.74067911616e-05,0.000242,0.143123,0.001576,70.160004,70.480003,69.650002,70.010002,3020000.0,70.010002
44,GE,1962-03-06,0.010021627653,0.00994551288081,0.00993241288892,0.0098712286141,902400,9.59769245627e-05,-0.002179,0.143193,0.000385,70.010002,70.239998,69.459999,69.779999,2870000.0,69.779999
45,GE,1962-03-07,0.00987447603414,0.00989687257167,0.0099654846334,0.00993662229432,969600,9.6612129183e-05,0.000968,0.143281,0.00068,69.779999,70.07,69.370003,69.690002,2890000.0,69.690002
46,GE,1962-03-08,0.00993989122746,0.0100264966112,0.00999843032466,0.0100837256502,1699200,9.8042651985e-05,0.00218,0.143411,0.00269,69.690002,70.370003,69.400002,70.190002,3210000.0,70.190002
47,GE,1962-03-09,0.010136009682,0.0101561214282,0.0102294287191,0.0102307030991,1900800,9.94718623808e-05,0.002178,0.143581,0.004335,70.190002,70.709999,70.0,70.419998,3340000.0,70.419998
48,GE,1962-03-12,0.0102340687784,0.0101722931388,0.0102954460228,0.0102471453937,2025600,9.9631319739e-05,0.000243,0.143749,0.003827,70.419998,70.760002,70.019997,70.400002,3280000.0,70.400002
49,GE,1962-03-13,0.0102505164822,0.0101561214282,0.0102294287191,0.0101980691471,1238400,9.97914333003e-05,0.000244,0.143915,0.003393,70.400002,70.860001,70.059998,70.599998,3200000.0,70.599998
50,GE,1962-03-14,0.0102014240906,0.0101236528297,0.0101800107102,0.0101489929005,1046400,9.93110926164e-05,-0.000732,0.144046,0.001983,70.599998,71.25,70.480003,70.910004,3670000.0,70.910004
51,GE,1962-03-15,0.0101523316989,0.0101722931388,0.0101964830278,0.0101817524979,1814400,9.9631319739e-05,0.000488,0.144216,0.002011,70.910004,71.440002,70.589996,71.059998,3250000.0,71.059998
52,GE,1962-03-16,0.0102014240906,0.0101722931388,0.0102954460228,0.0102471453937,998400,0.000100271773984,0.000976,0.144439,0.002526,71.059998,71.339996,70.669998,70.940002,3060000.0,70.940002
53,GE,1962-03-19,0.0102505164822,0.0101561214282,0.0102294287191,0.0101326762513,1065600,9.91516352582e-05,-0.001707,0.1447,0.000553,70.940002,71.309998,70.529999,70.849998,3220000.0,70.849998
