,Unnamed: 0,symbol,date,open,high,low,close,volume,adj_close,prev_day_diff,50_day_moving_avg,10_day_volatility,s&p_index_open,s&p_index_high,s&p_index_low,s&p_index_close,s&p_index_volume,s&p_index_adj_close
0,0,RL,1997-06-12,1.0,1.0,1.0,1.0,19963800,1.0,0.0,28.919455,0.0,869.570007,884.340027,869.01001,883.4600220000001,592730000.0,883.4600220000001
1,1,RL,1997-06-13,1.0,1.0,1.0,1.0,3661100,1.0,0.803318,29.321114,0.401659,883.4799800000001,894.6900019999999,883.4799800000001,893.2700199999999,575810000.0,893.2700199999999
2,2,RL,1997-06-16,1.0,1.0,1.0,1.0,2481700,1.0,-1.377116,28.995962,0.650305,893.2700199999999,895.169983,891.2100220000001,893.900024,414280000.0,893.900024
3,3,RL,1997-06-17,1.0,1.0,1.0,1.0,2283800,1.0,-1.032838,28.575176000000003,1.262357,893.900024,897.599976,886.1900019999999,894.419983,543010000.0,894.419983
4,4,RL,1997-06-18,1.0,1.0,1.0,1.0,1749900,1.0,-1.262357,28.070233,2.019771,894.419983,894.419983,887.0300289999999,889.0599980000001,491740000.0,889.0599980000001
5,5,RL,1997-06-19,1.0,1.0,1.0,1.0,1269900,1.0,0.9180780000000001,27.886616999999998,0.918077,889.0599980000001,900.090027,888.98999,897.98999,536940000.0,897.98999
6,6,RL,1997-06-20,1.0,1.0,1.0,1.0,859100,1.0,0.11475899999999999,27.771857,0.688558,897.98999,901.7700199999999,897.7700199999999,898.7000119999999,653110000.0,898.7000119999999
7,7,RL,1997-06-23,1.0,1.0,1.0,1.0,725000,1.0,-1.147597,27.542338,1.606636,898.7000119999999,898.7000119999999,878.429993,878.6199949999999,492940000.0,878.6199949999999
8,8,RL,1997-06-24,1.0,1.0,1.0,1.0,1212100,1.0,0.573799,27.427578000000004,0.918077,878.6199949999999,896.75,878.6199949999999,896.340027,542650000.0,896.340027
9,9,RL,1997-06-25,1.0,1.0,1.0,1.0,726600,1.0,-0.17214000000000002,27.318556,0.981195,896.340027,902.090027,882.23999,888.98999,603040000.0,888.98999
10,10,RL,1997-06-26,1.0,1.0,1.0,1.0,534500,1.0,-0.401659,27.192842,1.0844790000000002,888.98999,893.2100220000001,879.320007,883.679993,499780000.0,883.679993
11,11,RL,1997-06-27,1.0,1.0,1.0,1.0,441500,1.0,-0.9180780000000001,27.011574,1.532042,883.679993,894.7000119999999,883.679993,887.2999880000001,472540000.0,887.2999880000001
12,12,RL,1997-06-30,1.0,1.0,1.0,1.0,796900,1.0,0.11475999999999999,26.867021,1.095955,887.2999880000001,892.6199949999999,879.820007,885.1400150000001,561540000.0,885.1400150000001
13,13,RL,1997-07-01,1.0,1.0,1.0,1.0,621300,1.0,-0.401659,26.714428,1.2394049999999999,885.1400150000001,893.8800050000001,884.5399779999999,891.0300289999999,544190000.0,891.0300289999999
14,14,RL,1997-07-02,1.0,1.0,1.0,1.0,818700,1.0,0.803318,26.635735999999998,0.384445,891.0300289999999,904.0499880000001,891.0300289999999,904.0300289999999,526970000.0,904.0300289999999
15,15,RL,1997-07-03,1.0,1.0,1.0,1.0,696800,1.0,0.229519,26.581225,0.034428,904.0300289999999,917.820007,904.0300289999999,916.919983,374680000.0,916.919983
16,16,RL,1997-07-07,1.0,1.0,1.0,1.0,1180500,1.0,-0.860698,26.482498,0.677082,916.919983,923.26001,909.6900019999999,912.2000119999999,518780000.0,912.2000119999999
17,17,RL,1997-07-08,1.0,1.0,1.0,1.0,595000,1.0,0.516419,26.423431,0.109021,912.2000119999999,918.76001,911.5599980000001,918.75,526010000.0,918.75
18,18,RL,1997-07-09,1.0,1.0,1.0,1.0,958000,1.0,-0.975458,26.319240999999998,0.8779110000000001,918.75,922.0300289999999,902.4799800000001,907.5399779999999,589110000.0,907.5399779999999
19,19,RL,1997-07-10,1.0,1.0,1.0,1.0,1069200,1.0,-1.032837,26.173828,1.618111,907.5399779999999,916.5399779999999,904.3099980000001,913.7800289999999,551340000.0,913.7800289999999
20,20,RL,1997-07-11,1.0,1.0,1.0,1.0,674600,1.0,0.401659,26.061391,1.004146,913.7800289999999,919.73999,913.1099849999999,916.679993,500050000.0,916.679993
21,21,RL,1997-07-14,1.0,1.0,1.0,1.0,471200,1.0,-0.22951999999999997,25.948743,1.090216,916.679993,921.7800289999999,912.0200199999999,918.3800050000001,485960000.0,918.3800050000001
22,22,RL,1997-07-15,1.0,1.0,1.0,1.0,513000,1.0,-0.229519,25.835911,1.141857,918.3800050000001,926.150024,914.5200199999999,925.76001,598370000.0,925.76001
23,23,RL,1997-07-16,1.0,1.0,1.0,1.0,899600,1.0,-1.4918770000000001,25.67032,2.346835,925.76001,939.320007,925.76001,936.590027,647390000.0,936.590027
24,24,RL,1997-07-17,1.0,1.0,1.0,1.0,1286200,1.0,2.065675,25.600603,0.120496,936.590027,936.9600220000001,927.900024,931.6099849999999,629250000.0,931.6099849999999
25,25,RL,1997-07-18,1.0,1.0,1.0,1.0,346200,1.0,-0.17213900000000001,25.529629,0.091805,931.6099849999999,931.6099849999999,912.900024,915.2999880000001,589710000.0,915.2999880000001
26,26,RL,1997-07-21,1.0,1.0,1.0,1.0,216600,1.0,-0.516419,25.444785,0.44182200000000005,915.2999880000001,915.3800050000001,907.1199949999999,912.9400019999999,459500000.0,912.9400019999999
27,27,RL,1997-07-22,1.0,1.0,1.0,1.0,351200,1.0,0.28689899999999996,25.376248,0.034431,912.9400019999999,934.3800050000001,912.9400019999999,933.9799800000001,579590000.0,933.9799800000001
28,28,RL,1997-07-23,1.0,1.0,1.0,1.0,507100,1.0,-0.5737979999999999,25.292651,0.390179,933.9799800000001,941.7999880000001,933.9799800000001,936.5599980000001,616930000.0,936.5599980000001
29,29,RL,1997-07-24,1.0,1.0,1.0,1.0,412800,1.0,-0.34428000000000003,25.203152,0.654127,936.5599980000001,941.51001,926.909973,940.2999880000001,571020000.0,940.2999880000001
30,30,RL,1997-07-25,1.0,1.0,1.0,1.0,253000,1.0,0.0,25.119426999999998,0.533629,940.2999880000001,945.650024,936.090027,938.7899779999999,521510000.0,938.7899779999999
